,Athlete ID,Athlete Name,No. First Place Finishes
0,96790,Hannah OLDROYD,444
1,11570,Ollie GARROD,399
2,89044,James BAKER,345
3,539486,Daniel MIKIELSKI,334
4,365156,Kim FLETCHER-REID,327
5,219773,Terence Gareth FORREST,322
6,374906,Janthea ANDERSEN,319
7,475614,Cory NEWMAN,318
8,405047,Karen DAVIS,306
9,200447,Tracy RANKIN,294
10,17265,Caroline WOOD,288
11,1122529,Павел АЛТЫШОВ,288
12,51496,Jennifer MCBAIN,275
13,488459,Jill GARDINER,272
14,180534,Lucy CARTWRIGHT,265
15,427257,Lisa DAVIS,264
16,147864,Jay BAILEY,260
17,59307,Mark SYMES,257
18,87995,Peter WOODWARD,247
19,1827,Richard WARD,245
